YYYY-MM;RF
201812;    0.20
201901;    0.21
201902;    0.18
201903;    0.19
201904;    0.21
201905;    0.21
201906;    0.18
201907;    0.19
201908;    0.16
201909;    0.18
201910;    0.16
201911;    0.12
201912;    0.14
202001;    0.13
202002;    0.12
202003;    0.13
202004;    0.00
202005;    0.01
202006;    0.01
202007;    0.01
202008;    0.01
202009;    0.01
202010;    0.01
202011;    0.01
202012;    0.01
202101;    0.01
202102;    0.00
202103;    0.00
202104;    0.00
202105;    0.00
202106;    0.00
202107;    0.00
202108;    0.00
202109;    0.00
202110;    0.00
202111;    0.00
202112;    0.01
202201;    0.00
202202;    0.00
202203;    0.01
202204;    0.01
202205;    0.03
202206;    0.06
202207;    0.08
202208;    0.19
202209;    0.19
202210;    0.23
202211;    0.29
202212;    0.33
202301;    0.35
202302;    0.34
202303;    0.36
202304;    0.35
202305;    0.36
202306;    0.40
202307;    0.45
202308;    0.45
202309;    0.43
202310;    0.47
202311;    0.44
202312;    0.43
202401;    0.47
202402;    0.42
202403;    0.43
202404;    0.47
202405;    0.44
202406;    0.41
202407;    0.45
202408;    0.48
202409;    0.40
202410;    0.40
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
Copyright 2024 Eugene F. Fama and Kenneth R. French;
